 Seq   MD      CL        INC      AZI      TVD      VS       NS       EW      CD     CA    DLS
  #      m        m         deg      deg       m         m        m         m       m     deg   deg/30m
  65  1010.50  29.58    44.82   70.21  817.52  516.99   157.89   493.04  517.70   72.24   0.23 
  66  1038.89  28.39    46.45   70.73  837.37  537.22   164.68   512.16  537.99   72.18   1.77 
  67  1067.61  28.72    46.41   70.47  857.16  557.96   171.59   531.79  558.79   72.12   0.20 
  68  1096.32  28.71    46.36   69.68  876.97  578.66   178.67   551.33  579.56   72.04   0.60 
  69  1124.91  28.59    46.76   70.56  896.63  599.34   185.73   570.85  600.31   71.98   0.79 
  70  1153.52  28.61    46.49   69.85  916.27  620.05   192.77   590.42  621.09   71.92   0.61 
  71  1181.87  28.35    46.32   69.68  935.82  640.49   199.87   609.69  641.61   71.85   0.22 
  72  1210.53  28.66    46.27   70.12  955.63  661.12   207.00   629.14  662.32   71.79   0.34 
  73  1239.08  28.55    46.01   69.94  975.41  681.62   214.03   648.49  682.90   71.74   0.31 
  74  1267.54  28.46    46.41   70.12  995.10  702.08   221.04   667.80  703.43   71.69   0.44 
  75  1295.96  28.42    44.47   71.09 1015.04  722.26   227.77   686.90  723.68   71.66   2.17 
  76  1324.33  28.37    42.50   71.70 1035.63  741.74   233.99   705.40  743.20   71.65   2.13 
  77  1352.76  28.43    41.31   71.26 1056.79  760.69   240.03   723.41  762.19   71.64   1.29 
  78  1381.15  28.39    39.77   72.93 1078.36  779.11   245.70   740.96  780.64   71.65   1.99 
  79  1409.67  28.52    38.67   73.81 1100.45  797.13   250.86   758.24  798.66   71.69   1.30 
  80  1438.09  28.42    36.12   73.90 1123.03  814.39   255.66   774.82  815.91   71.74   2.69 
  81  1466.74  28.65    34.58   74.69 1146.40  830.96   260.15   790.78  832.47   71.79   1.68 
  82  1495.40  28.66    32.74   74.60 1170.25  846.84   264.35   806.09  848.33   71.84   1.93 
  83  1523.94  28.54    32.12   75.04 1194.34  862.15   268.36   820.86  863.62   71.90   0.70 
  84  1552.66  28.72    30.63   73.28 1218.86  877.10   272.44   835.25  878.56   71.93   1.83 
  85  1581.17  28.51    28.87   74.16 1243.61  891.24   276.41   848.83  892.70   71.96   1.91 
  86  1609.76  28.59    27.86   74.25 1268.77  904.82   280.10   861.90  906.27   72.00   1.06 
  87  1638.49  28.73    26.28   78.20 1294.35  917.89   283.22   874.59  919.31   72.06   2.50 
  88  1667.31  28.82    24.65   77.76 1320.37  930.26   285.80   886.71  931.63   72.14   1.71 
  89  1696.17  28.86    23.95   80.23 1346.67  942.11   288.06   898.37  943.42   72.22   1.28 
  90  1724.58  28.41    22.33   80.49 1372.80  953.23   289.93   909.38  954.48   72.32   1.71 
  91  1753.41  28.83    20.57   79.43 1399.63  963.74   291.77   919.76  964.93   72.40   1.88 
  92  1781.77  28.36    18.72   82.25 1426.34  973.23   293.29   929.17  974.36   72.48   2.20 
  93  1810.29  28.52    17.67   84.44 1453.43  982.04   294.32   938.01  983.10   72.58   1.32 
  94  1838.89  28.60    16.61   89.01 1480.76  990.30   294.80   946.42  991.28   72.70   1.80 
  95  1867.19  28.30    16.17   89.63 1507.91  998.05   294.90   954.41  998.93   72.83   0.50 
  96  1895.65  28.46    15.64   87.43 1535.28 1005.64   295.10   962.21 1006.44   72.95   0.85 
  97  1924.39  28.74    15.21   86.29 1562.99 1013.12   295.51   969.84 1013.86   73.05   0.55 
  98  1949.92  25.53    15.09   87.15 1587.63 1019.66   295.90   976.50 1020.35   73.14   0.30 
  99  1953.12   3.20    15.07   87.26 1590.72 1020.48   295.94   977.33 1021.15   73.15   0.33 
 100  1981.55  28.43    15.12   88.84 1618.17 1027.70   296.19   984.73 1028.31   73.26   0.44 
 101  2009.91  28.36    14.81   87.78 1645.56 1034.83   296.40   992.05 1035.38   73.36   0.44 
 102  2038.50  28.59    14.37   88.58 1673.23 1041.85   296.63   999.25 1042.35   73.47   0.51 
 103  2067.36  28.86    14.37   90.60 1701.19 1048.79   296.68  1006.41 1049.23   73.57   0.52 
 104  2096.06  28.70    14.41   85.50 1728.99 1055.74   296.93  1013.54 1056.14   73.67   1.33 
 105  2124.69  28.63    14.90   86.29 1756.69 1062.86   297.45  1020.76 1063.22   73.75   0.55 
 106  2153.52  28.83    13.05   87.17 1784.66 1069.68   297.84  1027.71 1070.00   73.84   1.94 
 107  2182.27  28.75    13.49   87.96 1812.65 1076.13   298.12  1034.31 1076.41   73.92   0.50 
 108  2210.66  28.39    13.49   84.36 1840.25 1082.63   298.57  1040.91 1082.89   74.00   0.89 
 109  2239.24  28.58    13.71   86.55 1868.03 1089.24   299.10  1047.61 1089.47   74.07   0.59 
 110  2267.69  28.45    13.36   89.01 1895.69 1095.74   299.36  1054.26 1095.94   74.15   0.71 
 111  2296.19  28.50    13.32   86.55 1923.42 1102.16   299.61  1060.83 1102.33   74.23   0.60 
 112  2324.85  28.66    13.32   85.41 1951.31 1108.65   300.07  1067.42 1108.80   74.30   0.27 
 113  2353.35  28.50    12.66   84.27 1979.08 1114.96   300.65  1073.80 1115.10   74.36   0.75 
 114  2381.79  28.44    12.44   82.16 2006.84 1121.08   301.38  1079.94 1121.20   74.41   0.54 
 115  2410.25  28.46    12.13   82.60 2034.65 1127.09   302.18  1085.94 1127.20   74.45   0.34 
 116  2438.59  28.34    11.73   83.92 2062.38 1132.89   302.87  1091.76 1132.99   74.50   0.51 
 117  2443.95   5.36    11.51   83.07 2067.63 1133.96   302.99  1092.83 1134.06   74.50   1.56 
 118  2467.27  23.32    10.55   79.35 2090.52 1138.40   303.68  1097.24 1138.49   74.53   1.54 
